period,city,買賣_棟數,買賣_坪數,拍賣_棟數,拍賣_坪數,繼承_棟數,繼承_坪數,贈與_棟數,贈與_坪數
099Q4,嘉義縣,634,30951.55,69,4314.74,140,5559.08,91,4408.36
099Q4,基隆市,2324,62348.33,277,3171.48,196,5152.46,153,3991.56
099Q4,宜蘭縣,1635,63032.95,118,4651.43,191,8388.94,178,6919.29
099Q4,屏東縣,1610,68021.36,161,8502.81,312,13056.08,208,9288.86
099Q4,彰化縣,2235,106171.41,202,19554.3,310,14074.39,266,12717.92
099Q4,新北市,29536,946418.49,496,15877.22,1815,55239.85,2042,51422.79
099Q4,新竹市,3017,117920.56,37,1131.22,204,9045.32,192,7479.34
099Q4,新竹縣,2511,86963.08,78,13318.24,129,4844.09,161,5840.86
099Q4,桃園市,13636,462787.0,880,27580.4,928,40878.69,790,27847.39
099Q4,澎湖縣,150,8725.71,4,123.37,97,2015.89,37,1269.9699999999998
099Q4,臺中市,15339,531025.14,509,16647.43,1086,49400.25,1001,38082.96
099Q4,臺北市,16495,398172.17,205,8167.64,1837,55097.3,1820,51536.36
099Q4,臺南市,5732,213914.86,481,18100.89,815,34324.34,463,17542.52
099Q4,臺東縣,397,16442.15,35,1271.38,111,4472.9,66,3420.4199999999996
099Q4,花蓮縣,1298,43879.44,113,4535.65,153,7287.78,122,4433.87
099Q4,苗栗縣,1311,60480.56,136,12702.14,184,12669.22,123,5904.99
099Q4,連江縣,0,0.0,0,0.0,0,0.0,0,0.0
099Q4,金門縣,89,3358.07,0,0.0,10,512.1,17,1062.01
099Q4,雲林縣,1146,53171.02,125,9571.85,180,9052.38,124,6089.15
099Q4,高雄市,10950,391980.34,972,41246.13,1264,45919.98,804,33982.25
100Q1,區域別總計,104529,3522302.79,4628,231155.29,9436,346225.18,11162,389519.29
100Q1,南投縣,691,34101.5,102,5565.98,158,6824.09,122,6507.1900000000005
100Q1,嘉義市,982,36306.1,62,3511.06,131,4599.59,108,5192.43
100Q1,嘉義縣,667,33838.12,82,3728.97,141,5780.02,117,7887.83
100Q1,基隆市,1876,46712.9,360,4080.17,197,4994.95,187,4689.4
100Q1,宜蘭縣,1414,47530.45,62,3077.9,177,7445.62,201,7799.25
100Q1,屏東縣,1447,64562.71,232,13483.24,268,10658.36,197,9314.34
100Q1,彰化縣,1829,91624.4,121,6486.82,293,14275.17,280,15019.990000000002
100Q1,新北市,26228,742761.36,314,11480.15,1732,50063.32,2395,66521.2
100Q1,新竹市,3138,90314.33,48,10120.57,159,7203.56,225,7652.99
100Q1,新竹縣,2923,112875.81,54,2589.55,155,9560.17,223,9665.84
100Q1,桃園市,12328,465121.31,797,66774.77,768,28711.62,883,36057.020000000004
100Q1,澎湖縣,131,6259.2,1,31.08,86,2465.76,45,1439.54
100Q1,臺中市,14839,540734.69,310,8512.88,1058,42524.1,1085,46108.28
100Q1,臺北市,16147,406390.47,204,8022.25,1554,45122.67,3011,78381.67
100Q1,臺南市,5447,230350.14,403,14574.36,726,32934.86,536,22330.52
100Q1,臺東縣,461,16551.78,281,5651.98,69,2789.0,60,2520.73
100Q1,花蓮縣,1171,46387.97,143,4946.67,144,7030.24,149,5957.34
100Q1,苗栗縣,1135,60967.47,68,4809.61,183,9370.09,140,7191.01
100Q1,連江縣,0,0.0,0,0.0,0,0.0,0,0.0
100Q1,金門縣,88,2863.2,0,0.0,29,1167.98,29,1564.35
100Q1,雲林縣,989,49888.09,110,6160.42,189,10528.2,108,5486.18
100Q1,高雄市,10598,396160.77,874,47546.86,1219,42175.8,1061,42232.17999999999
100Q2,區域別總計,96013,3211611.46,3734,193999.8,11070,402098.55,9237,320649.25
100Q2,南投縣,827,55377.24,89,3274.47,200,9443.32,157,7705.650000000001
100Q2,嘉義市,1039,43129.12,37,1343.67,198,8608.38,118,4025.09
100Q2,嘉義縣,638,29161.66,147,3677.4,175,6994.84,92,3888.9700000000003
100Q2,基隆市,1707,42958.15,123,2398.2,220,6417.3,215,4811.73
100Q2,宜蘭縣,1482,57043.32,272,6235.32,257,9063.35,189,7077.4400000000005
100Q2,屏東縣,1442,64795.98,200,9410.04,312,12329.49,212,11960.92
