資料期別,縣市,本季購置住宅貸款違約率(%),download_timestamp,process_timestamp
098Q4,基隆市,2.0,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,連江縣,0.0,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,雲林縣,1.11,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,新北市,0.55,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,新竹市,0.74,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,新竹縣,0.83,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,嘉義市,0.71,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,嘉義縣,1.01,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,彰化縣,1.36,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,澎湖縣,0.42,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,全國,0.82,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,台中市,0.44,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,台中縣,1.04,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,台北市,0.29,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,台東縣,2.67,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,台南市,0.96,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,台南縣,1.03,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,宜蘭縣,0.87,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,花蓮縣,1.5,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,金門縣,0.76,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,南投縣,2.68,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,屏東縣,1.83,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,苗栗縣,1.47,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,桃園市,1.68,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,高雄市,1.23,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,高雄縣,1.66,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,基隆市,1.87,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,連江縣,0.0,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,雲林縣,1.45,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,新北市,0.5,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,新竹市,0.7,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,新竹縣,0.81,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,嘉義市,0.78,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,嘉義縣,1.22,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,彰化縣,1.23,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q1,澎湖縣,0.46,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,全國,0.71,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,台中市,0.35,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,台中縣,0.95,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,台北市,0.25,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,台東縣,2.48,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,台南市,0.9,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,台南縣,0.89,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,宜蘭縣,0.93,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,花蓮縣,1.25,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,金門縣,0.57,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,南投縣,2.21,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,屏東縣,1.65,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,苗栗縣,1.41,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,桃園市,1.42,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,高雄市,1.05,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,高雄縣,1.39,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,基隆市,1.81,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,連江縣,0.0,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,雲林縣,1.47,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,新北市,0.41,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,新竹市,0.68,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,新竹縣,0.86,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,嘉義市,0.76,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,嘉義縣,1.16,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q2,彰化縣,0.85,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
