資料期別,縣市,建物買賣移轉登記棟數
105Q3,基隆市,2393.0
105Q3,連江縣,
105Q3,雲林縣,864.0
105Q3,新北市,12110.0
105Q3,新竹市,3427.0
105Q3,新竹縣,3166.0
105Q3,嘉義市,819.0
105Q3,嘉義縣,715.0
105Q3,彰化縣,1465.0
105Q3,澎湖縣,60.0
105Q4,全國,69609.0
105Q4,台中市,9599.0
105Q4,台北市,5680.0
105Q4,台東縣,334.0
105Q4,台南市,4817.0
105Q4,宜蘭縣,1466.0
105Q4,花蓮縣,679.0
105Q4,金門縣,104.0
105Q4,南投縣,619.0
105Q4,屏東縣,1261.0
105Q4,苗栗縣,1467.0
105Q4,桃園市,9818.0
105Q4,高雄市,8960.0
105Q4,基隆市,2040.0
105Q4,連江縣,0.0
105Q4,雲林縣,959.0
105Q4,新北市,12869.0
105Q4,新竹市,2330.0
105Q4,新竹縣,3289.0
105Q4,嘉義市,678.0
105Q4,嘉義縣,731.0
105Q4,彰化縣,1822.0
105Q4,澎湖縣,87.0
106Q1,全國,59715.0
106Q1,台中市,8624.0
106Q1,台北市,5197.0
106Q1,台東縣,314.0
106Q1,台南市,4257.0
106Q1,宜蘭縣,1134.0
106Q1,花蓮縣,742.0
106Q1,金門縣,108.0
106Q1,南投縣,639.0
106Q1,屏東縣,1286.0
106Q1,苗栗縣,1178.0
106Q1,桃園市,7630.0
106Q1,高雄市,7765.0
106Q1,基隆市,1221.0
106Q1,連江縣,1.0
106Q1,雲林縣,845.0
106Q1,新北市,11981.0
106Q1,新竹市,1795.0
106Q1,新竹縣,2128.0
106Q1,嘉義市,734.0
106Q1,嘉義縣,594.0
106Q1,彰化縣,1476.0
106Q1,澎湖縣,66.0
106Q2,全國,69395.0
106Q2,台中市,10458.0
106Q2,台北市,5901.0
106Q2,台東縣,305.0
106Q2,台南市,4939.0
106Q2,宜蘭縣,1214.0
106Q2,花蓮縣,760.0
106Q2,金門縣,179.0
106Q2,南投縣,689.0
106Q2,屏東縣,1255.0
106Q2,苗栗縣,1358.0
106Q2,桃園市,9188.0
106Q2,高雄市,9147.0
106Q2,基隆市,1428.0
106Q2,連江縣,1.0
106Q2,雲林縣,1132.0
106Q2,新北市,13546.0
106Q2,新竹市,1946.0
106Q2,新竹縣,2384.0
106Q2,嘉義市,727.0
106Q2,嘉義縣,925.0
106Q2,彰化縣,1798.0
106Q2,澎湖縣,115.0
106Q3,全國,67920.0
106Q3,台中市,9844.0
106Q3,台北市,6053.0
106Q3,台東縣,302.0
106Q3,台南市,4994.0
106Q3,宜蘭縣,1204.0
106Q3,花蓮縣,739.0
106Q3,金門縣,159.0
106Q3,南投縣,594.0
106Q3,屏東縣,1204.0
106Q3,苗栗縣,1433.0
106Q3,桃園市,9194.0
106Q3,高雄市,8636.0
106Q3,基隆市,1540.0
106Q3,連江縣,
106Q3,雲林縣,854.0
106Q3,新北市,13288.0
106Q3,新竹市,1832.0
106Q3,新竹縣,2454.0
106Q3,嘉義市,784.0
106Q3,嘉義縣,961.0
106Q3,彰化縣,1777.0
106Q3,澎湖縣,74.0
106Q4,全國,69056.0
106Q4,台中市,10406.0
106Q4,台北市,6296.0
106Q4,台東縣,272.0
106Q4,台南市,5305.0
106Q4,宜蘭縣,1153.0
106Q4,花蓮縣,764.0
106Q4,金門縣,180.0
106Q4,南投縣,632.0
106Q4,屏東縣,1275.0
106Q4,苗栗縣,1318.0
106Q4,桃園市,9598.0
106Q4,高雄市,8427.0
106Q4,基隆市,1654.0
106Q4,連江縣,1.0
106Q4,雲林縣,889.0
106Q4,新北市,13179.0
106Q4,新竹市,1785.0
106Q4,新竹縣,2507.0
106Q4,嘉義市,903.0
106Q4,嘉義縣,661.0
106Q4,彰化縣,1766.0
106Q4,澎湖縣,85.0
107Q1,全國,66060.0
107Q1,台中市,9272.0
107Q1,台北市,6573.0
107Q1,台東縣,308.0
107Q1,台南市,5226.0
107Q1,宜蘭縣,1162.0
107Q1,花蓮縣,688.0
107Q1,金門縣,155.0
107Q1,南投縣,639.0
107Q1,屏東縣,1328.0
107Q1,苗栗縣,1338.0
107Q1,桃園市,7657.0
107Q1,高雄市,8029.0
107Q1,基隆市,1790.0
107Q1,連江縣,
107Q1,雲林縣,813.0
107Q1,新北市,12522.0
107Q1,新竹市,1641.0
107Q1,新竹縣,3326.0
107Q1,嘉義市,664.0
107Q1,嘉義縣,761.0
107Q1,彰化縣,2071.0
107Q1,澎湖縣,97.0
107Q2,全國,70070.0
107Q2,台中市,9724.0
107Q2,台北市,6626.0
107Q2,台東縣,310.0
107Q2,台南市,5548.0
107Q2,宜蘭縣,1375.0
107Q2,花蓮縣,643.0
107Q2,金門縣,166.0
107Q2,南投縣,696.0
107Q2,屏東縣,1304.0
107Q2,苗栗縣,1278.0
107Q2,桃園市,8885.0
107Q2,高雄市,8356.0
107Q2,基隆市,1373.0
107Q2,連江縣,1.0
107Q2,雲林縣,971.0
107Q2,新北市,14957.0
107Q2,新竹市,1810.0
107Q2,新竹縣,2561.0
107Q2,嘉義市,737.0
107Q2,嘉義縣,742.0
107Q2,彰化縣,1936.0
107Q2,澎湖縣,71.0
107Q3,全國,69702.0
107Q3,台中市,9355.0
107Q3,台北市,6853.0
107Q3,台東縣,340.0
107Q3,台南市,5076.0
107Q3,宜蘭縣,1257.0
107Q3,花蓮縣,722.0
107Q3,金門縣,193.0
107Q3,南投縣,616.0
107Q3,屏東縣,1234.0
107Q3,苗栗縣,1242.0
107Q3,桃園市,9065.0
107Q3,高雄市,8041.0
107Q3,基隆市,1340.0
107Q3,連江縣,0.0
107Q3,雲林縣,818.0
107Q3,新北市,14918.0
107Q3,新竹市,1952.0
107Q3,新竹縣,3253.0
107Q3,嘉義市,753.0
107Q3,嘉義縣,628.0
107Q3,彰化縣,1896.0
107Q3,澎湖縣,150.0
107Q4,全國,72135.0
107Q4,台中市,11453.0
107Q4,台北市,6780.0
107Q4,台東縣,350.0
107Q4,台南市,5166.0
107Q4,宜蘭縣,1211.0
107Q4,花蓮縣,675.0
107Q4,金門縣,142.0
107Q4,南投縣,741.0
107Q4,屏東縣,1580.0
107Q4,苗栗縣,1421.0
107Q4,桃園市,8973.0
107Q4,高雄市,8849.0
107Q4,基隆市,1391.0
107Q4,連江縣,0.0
107Q4,雲林縣,779.0
107Q4,新北市,14256.0
107Q4,新竹市,2228.0
107Q4,新竹縣,2616.0
107Q4,嘉義市,557.0
107Q4,嘉義縣,677.0
107Q4,彰化縣,2175.0
107Q4,澎湖縣,115.0
108Q1,全國,64224.0
108Q1,台中市,9283.0
108Q1,台北市,5771.0
108Q1,台東縣,253.0
108Q1,台南市,5350.0
108Q1,宜蘭縣,911.0
108Q1,花蓮縣,650.0
108Q1,金門縣,116.0
108Q1,南投縣,802.0
108Q1,屏東縣,1257.0
108Q1,苗栗縣,1101.0
108Q1,桃園市,7553.0
108Q1,高雄市,9304.0
108Q1,基隆市,1141.0
108Q1,連江縣,0.0
108Q1,雲林縣,860.0
108Q1,新北市,12699.0
108Q1,新竹市,1471.0
108Q1,新竹縣,2458.0
108Q1,嘉義市,683.0
108Q1,嘉義縣,571.0
